,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
232,25,8,1,1,0,1,1.11
233,25,9,1,1,0,1,0.37
234,26,1,1,1,0,1,9.2
235,26,2,0,1,0,0,8.13
236,26,3,0,1,0,0,7.22
237,26,4,0,0,0,0,6.15
238,26,5,0,0,0,0,4.53
239,26,6,0,1,0,0,2.92
240,26,7,1,1,0,1,1.62
241,26,8,1,1,0,1,0.68
242,26,9,1,1,0,1,0.02
243,27,1,0,1,0,0,9.19
244,27,2,0,1,0,0,8.07
245,27,3,0,1,0,0,7.29
246,27,4,0,0,0,0,6.29
247,27,5,0,1,0,0,4.56
248,27,6,1,1,0,1,3.03
249,27,7,1,1,0,1,1.83
250,27,8,0,1,0,0,0.73
251,27,9,0,1,0,0,0.04
252,28,1,1,1,1,1,9.09
253,28,2,0,1,1,1,7.97
254,28,3,0,1,0,0,7.23
255,28,4,0,0,0,0,6.19
256,28,5,0,1,0,0,4.7
257,28,6,1,1,0,1,3.16
258,28,7,1,1,1,1,1.85
259,28,8,1,1,0,1,0.77
260,28,9,0,1,0,0,0.01
261,29,1,0,1,0,0,9.25
262,29,2,0,1,0,0,8.03
263,29,3,0,1,0,0,7.33
264,29,4,0,0,0,0,6.3
265,29,5,0,1,0,0,4.69
266,29,6,1,1,0,1,3.16
267,29,7,1,1,0,1,1.93
268,29,8,1,1,0,1,0.96
269,29,9,1,1,0,1,0.22
270,30,1,0,1,0,0,9.37
271,30,2,0,1,0,0,8.14
272,30,3,0,0,0,0,7.52
273,30,4,0,1,0,0,6.62
274,30,5,0,1,0,0,4.99
275,30,6,1,1,0,1,3.38
276,30,7,1,1,0,1,1.99
277,30,8,0,1,0,0,1.04
278,30,9,0,1,0,0,0.35
279,31,1,0,1,0,0,9.36
280,31,2,0,0,0,0,8.2
281,31,3,0,0,0,0,7.58
282,31,4,0,1,0,0,6.66
283,31,5,1,1,0,1,5.18
284,31,6,1,1,1,1,3.75
285,31,7,1,1,0,1,2.26
286,31,8,1,1,0,1,0.96
287,31,9,0,1,0,0,0.17
288,32,1,0,0,0,0,9.45
289,32,2,0,0,0,0,8.3
290,32,3,0,0,0,0,7.71
291,32,4,0,1,0,0,7.01
292,32,5,1,1,0,1,5.41
293,32,6,1,1,1,1,3.8
294,32,7,1,1,1,1,2.55
295,32,8,1,1,1,1,1.39
296,32,9,1,1,0,1,0.51
297,33,1,0,0,0,0,9.46
298,33,2,0,0,0,0,8.33
299,33,3,0,0,0,0,7.66
300,33,4,0,1,0,0,6.85
301,33,5,1,1,0,1,5.3
302,33,6,1,1,1,1,3.79
303,33,7,1,1,1,1,2.55
304,33,8,1,1,0,1,1.31
305,33,9,0,1,0,0,0.47
306,34,1,0,0,0,0,9.64
307,34,2,0,0,0,0,8.37
308,34,3,0,0,0,0,7.65
309,34,4,0,1,0,0,6.84
310,34,5,1,1,0,1,5.28
311,34,6,1,1,1,1,3.63
312,34,7,1,1,0,1,1.99
313,34,8,0,1,0,0,0.5
314,34,9,0,1,0,0,-0.36
315,35,1,0,0,0,0,9.73
316,35,2,0,0,0,0,8.44
317,35,3,0,0,0,0,7.77
318,35,4,0,1,0,0,7.17
319,35,5,0,1,0,0,5.71
320,35,6,1,1,0,1,3.6
321,35,7,1,1,0,1,1.64
322,35,8,0,1,0,0,0.03
323,35,9,0,1,0,0,-0.66
324,36,1,0,0,0,0,9.8
325,36,2,0,0,0,0,8.49
326,36,3,0,0,0,0,7.76
327,36,4,0,0,0,0,7.17
328,36,5,0,1,0,0,5.83
329,36,6,1,1,0,1,3.94
330,36,7,1,1,0,1,2.14
331,36,8,0,1,0,0,0.51
332,36,9,0,1,0,0,-0.47
333,37,1,0,1,0,0,9.93
334,37,2,0,0,0,0,8.51
335,37,3,0,0,0,0,7.74
336,37,4,0,0,0,0,7.1
337,37,5,0,0,0,0,5.7
338,37,6,0,1,0,0,3.77
339,37,7,1,1,0,1,1.84
340,37,8,0,1,0,0,0.24
341,37,9,0,1,0,0,-0.57
342,38,1,0,1,0,0,10.06
343,38,2,0,1,0,0,8.62
344,38,3,0,1,0,0,7.88
345,38,4,0,1,0,0,7.04
346,38,5,0,0,0,0,5.35
347,38,6,0,1,0,0,3.54
348,38,7,1,1,0,1,1.4
349,38,8,0,1,0,0,-0.15
350,38,9,0,1,0,0,-0.61
351,39,1,0,1,0,0,9.96
352,39,2,0,0,0,0,8.55
353,39,3,0,0,0,0,7.78
354,39,4,0,0,0,0,6.98
355,39,5,0,0,0,0,5.53
356,39,6,0,1,0,0,3.73
357,39,7,0,1,0,0,1.61
358,39,8,0,1,0,0,0.13
359,39,9,0,1,0,0,-0.51
360,40,1,0,1,0,0,9.93
361,40,2,0,1,0,0,8.58
362,40,3,0,0,0,0,7.79
363,40,4,0,0,0,0,6.91
364,40,5,0,0,0,0,5.48
365,40,6,0,1,0,0,3.93
366,40,7,1,1,0,1,1.98
367,40,8,0,1,0,0,0.43
368,40,9,0,0,0,0,-0.42
369,41,1,0,1,0,0,9.99
370,41,2,0,1,0,0,8.62
371,41,3,0,1,0,0,7.85
372,41,4,0,1,0,0,6.91
373,41,5,0,1,0,0,5.67
374,41,6,1,1,0,1,4.33
375,41,7,1,1,0,1,2.21
376,41,8,0,1,0,0,0.61
377,41,9,0,0,0,0,-0.27
