time,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9
551,2,3,3,3,3,3,2,2,2
552,2,3,3,3,3,3,2,2,2
553,2,3,3,3,3,3,2,2,2
554,2,3,3,3,3,3,2,2,2
555,2,3,3,3,3,3,3,3,3
556,2,3,3,3,3,3,3,3,3
557,2,3,3,3,3,3,3,3,3
558,2,3,3,3,3,3,3,3,3
559,1,2,3,3,2,2,3,3,3
560,1,2,3,3,2,1,1,2,2
561,1,2,3,3,2,1,3,3,3
562,1,1,2,2,2,1,1,3,3
563,1,1,2,3,2,1,1,3,3
564,2,2,3,3,3,3,3,3,3
565,3,3,3,3,3,3,3,3,3
566,2,1,3,3,3,3,3,3,3
567,2,2,3,3,3,3,3,3,3
568,1,1,2,3,3,3,3,3,3
569,1,2,3,3,3,3,3,2,2
570,2,2,3,3,3,3,3,2,2
571,2,2,3,3,3,3,3,3,3
572,1,2,3,3,3,3,3,2,2
573,2,1,2,3,3,3,3,2,2
574,1,1,2,3,3,3,3,2,2
575,2,1,3,3,3,3,3,2,2
576,2,2,3,3,3,3,2,2,2
577,2,2,3,3,3,3,2,2,2
578,2,2,2,3,3,3,3,2,2
579,2,2,3,3,3,3,3,3,3
580,2,2,3,3,3,3,3,3,3
581,2,2,2,3,3,3,3,3,3
582,2,2,3,3,3,3,3,3,3
583,3,3,3,3,3,3,3,3,3
584,2,2,3,3,3,3,3,3,3
585,2,2,3,3,3,3,3,3,3
586,1,1,2,3,3,3,3,3,3
587,1,1,2,3,3,3,3,2,2
588,1,1,2,3,3,2,2,2,2
589,1,1,2,2,2,3,2,2,2
590,2,1,2,2,2,2,2,2,2
591,2,1,2,2,2,2,2,2,2
592,1,1,3,2,2,2,2,2,2
593,1,1,3,2,2,2,2,2,2
594,1,1,2,3,3,2,2,2,2
595,1,1,2,3,3,2,2,2,2
596,1,1,2,3,3,3,2,2,2
597,1,1,2,3,3,3,3,2,2
598,1,2,2,3,3,3,3,2,2
599,1,2,3,3,3,3,3,2,2
600,2,2,3,3,3,3,3,2,2
601,1,2,2,3,3,3,3,3,3
602,1,2,3,3,3,3,3,3,3
603,1,2,3,3,3,3,3,3,3
604,1,2,3,3,3,3,3,3,3
605,2,3,3,3,3,3,3,3,3
606,1,2,3,3,3,3,3,3,3
607,1,2,3,3,2,3,3,3,3
